City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
2,Sao Filipe,CV,76.89,14.8961,-24.4956,few clouds,Hotel Xaguate
3,Impfondo,CG,69.73,1.6381,18.0667,moderate rain,Auberge La Place de Jules
6,Atuona,PF,77.16,-9.8,-139.0333,clear sky,Hôtel Hiva Oa Hanakee Lodge
8,Rikitea,PF,72.75,-23.1203,-134.9692,scattered clouds,People ThankYou
11,Tutoia,BR,78.55,-2.7619,-42.2744,scattered clouds,Pousada Guará's
14,Buta,CD,68.59,2.7858,24.73,overcast clouds,Hôtel BOPANDO
22,Osoyoos,CA,75.96,49.0331,-119.4524,broken clouds,Watermark Beach Resort
30,Cayenne,GF,77.04,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
44,Lamar,US,73.31,33.6668,-95.5836,clear sky,Kings Inn Paris TX
48,Barda,AZ,68.86,40.3744,47.1267,overcast clouds,Prins Motel Restoran
55,Jamestown,US,69.03,42.097,-79.2353,overcast clouds,Hampton Inn & Suites Jamestown
66,Avarua,CK,78.85,-21.2078,-159.775,broken clouds,Paradise Inn
70,Camacha,PT,71.02,33.0833,-16.3333,broken clouds,Hotel Porto Santo & Spa
76,Ribeira Grande,PT,73.0,38.5167,-28.7,overcast clouds,Quinta da Meia Eira
79,Los Llanos De Aridane,ES,71.35,28.6585,-17.9182,clear sky,Valle Aridane
83,Santa Marinella,IT,71.71,42.0345,11.8536,clear sky,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
92,Katsuura,JP,78.67,35.1333,140.3,overcast clouds,Katsuura Hotel Mikazuki
98,Muros,ES,70.16,42.7762,-9.0603,overcast clouds,Apartment Av. Castelao
101,Hamilton,US,71.78,39.1834,-84.5333,broken clouds,Six Acres Bed & Breakfast
108,Athens,GR,79.25,37.9795,23.7162,few clouds,Safestay Athens
110,Saint-Pierre,RE,72.57,-21.3393,55.4781,clear sky,Alize Plage
115,Campo Maior,BR,78.84,-4.8278,-42.1686,overcast clouds,Elite Hotel
117,Maceio,BR,69.24,-9.6658,-35.7353,few clouds,Hotel Ponta Verde Maceió
118,Carnarvon,AU,69.73,-24.8667,113.6333,clear sky,Hospitality Carnarvon
119,Mitsamiouli,KM,74.01,-11.3847,43.2844,few clouds,Foyer ADM
133,Carutapera,BR,78.08,-1.195,-46.02,clear sky,Lidera
136,Santo Antonio Do Ica,BR,76.57,-3.1022,-67.9397,broken clouds,HOTEL AMAZON WAY
137,Portland,US,77.49,45.5234,-122.6762,overcast clouds,Embassy Suites by Hilton Portland Downtown
139,Yankton,US,70.05,42.8711,-97.3973,clear sky,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
142,Bambous Virieux,MU,68.25,-20.3428,57.7575,broken clouds,Casa Tia Villa
144,Mineiros,BR,77.14,-17.5694,-52.5511,scattered clouds,Pilões Palace Hotel
145,Salalah,OM,78.12,17.0151,54.0924,overcast clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
147,Shache,CN,71.71,38.4167,77.2406,overcast clouds,Delong Hotel
150,Show Low,US,70.09,34.2542,-110.0298,few clouds,Hampton Inn & Suites Show Low-Pinetop
159,Mahebourg,MU,68.29,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
168,Sinnamary,GF,78.64,5.3833,-52.95,clear sky,ALETHEIA Appartement Sinnamary
169,Sao Joao Da Barra,BR,68.16,-21.6403,-41.0511,overcast clouds,Pousada Porto De Canoas
170,Kohlu,PK,78.96,29.8962,69.252,clear sky,B &R Rest House
172,Candolim,IN,78.8,15.5181,73.7626,light rain,Resort Terra Paraiso
173,Flinders,AU,69.06,-34.5833,150.8552,few clouds,Shellharbour Resort & Conference Centre
178,Odweyne,SO,72.01,9.4092,45.064,clear sky,Eng Hiirey House
182,Jalingo,NG,71.98,8.8833,11.3667,overcast clouds,Debright Motel
184,Issaquah,US,73.62,47.5301,-122.0326,overcast clouds,Hilton Garden Inn Seattle/Issaquah
186,Berea,US,70.95,41.3662,-81.8543,overcast clouds,Comfort Inn Cleveland Airport
188,Ruteng,ID,73.83,-8.6136,120.4721,clear sky,Hotel FX 72
189,Sungaipenuh,ID,74.03,-2.0833,101.3833,overcast clouds,Penginapan Citra Alam
191,Faanui,PF,78.87,-16.4833,-151.75,clear sky,Bora-Bora Pearl Beach Resort & Spa
196,Souillac,MU,68.38,-20.5167,57.5167,broken clouds,Shanti Maurice Resort & Spa
197,Miyako,JP,75.52,39.6367,141.9525,overcast clouds,Hotel Route Inn Miyako
200,Inongo,CD,68.77,-1.95,18.2667,overcast clouds,Hotel Du Lac
204,Ninghai,CN,74.03,29.2892,121.4247,overcast clouds,Kaiyuan New Century Hotel
210,Alta Floresta,BR,76.8,-9.8756,-56.0861,few clouds,Floresta Amazonica Hotel
215,San Quintin,MX,74.39,30.4833,-115.95,scattered clouds,Don Eddie's Sport Fishing Center
216,Ponta Do Sol,PT,76.01,32.6667,-17.1,light rain,Hotel do Campo
217,Tahta,EG,78.08,26.7693,31.5021,clear sky,فندق الزيات
218,Wukari,NG,70.81,7.85,9.7833,light rain,Elimtop
