City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Description
0,Georgetown,MY,5.4112,100.3354,82.89,77.99,84,20,5.01,moderate rain
1,Omsukchan,RU,62.5333,155.8,41.18,41.18,78,100,5.64,overcast clouds
2,Sao Filipe,CV,14.8961,-24.4956,76.89,76.89,83,17,13.56,few clouds
3,Impfondo,CG,1.6381,18.0667,69.73,69.73,99,97,1.72,moderate rain
4,Bengkulu,ID,-3.8004,102.2655,80.04,80.04,71,99,1.34,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,40.66,40.66,70,40,18.41,scattered clouds
6,Atuona,PF,-9.8,-139.0333,77.16,77.16,71,0,16.08,clear sky
7,Fairbanks,US,64.8378,-147.7164,62.94,56.48,51,100,5.75,haze
8,Rikitea,PF,-23.1203,-134.9692,72.75,72.75,75,35,5.5,scattered clouds
9,Clyde River,CA,70.4692,-68.5914,35.83,35.83,100,100,9.22,mist
10,Bredasdorp,ZA,-34.5322,20.0403,45.09,45.09,84,11,3.71,few clouds
11,Tutoia,BR,-2.7619,-42.2744,78.55,78.55,82,32,13.2,scattered clouds
12,Alofi,NU,-19.0595,-169.9187,82.29,82.29,65,7,11.5,clear sky
13,Vanavara,RU,60.34,102.2797,50.88,50.88,70,39,5.17,scattered clouds
14,Buta,CD,2.7858,24.73,68.59,68.59,99,100,1.43,overcast clouds
15,Berlevag,NO,70.8578,29.0864,42.75,41.0,100,100,9.22,drizzle rain
16,Bluff,NZ,-46.6,168.3333,53.53,53.53,68,100,4.09,overcast clouds
17,Victoria,HK,22.2855,114.1577,90.97,87.94,75,10,5.99,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,39.31,39.11,75,40,2.3,scattered clouds
19,Hilo,US,19.7297,-155.09,84.25,78.62,86,63,4.0,broken clouds
20,Albany,US,42.6001,-73.9662,65.55,63.05,90,100,3.33,overcast clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,67.12,67.12,72,99,4.52,overcast clouds
22,Osoyoos,CA,49.0331,-119.4524,75.96,73.81,33,54,2.3,broken clouds
23,Bathsheba,BB,13.2167,-59.5167,83.01,83.01,78,40,9.22,scattered clouds
24,Busselton,AU,-33.65,115.3333,65.05,65.05,76,7,13.56,clear sky
25,Picui,BR,-6.5106,-36.3469,67.8,67.8,90,25,18.95,scattered clouds
26,Aykhal,RU,66.0,111.5,34.09,34.09,98,100,3.85,overcast clouds
27,Abu Samrah,SY,35.3029,37.1841,71.73,71.73,53,0,6.13,clear sky
28,Qaanaaq,GL,77.484,-69.3632,36.68,36.68,98,100,6.55,overcast clouds
29,Gol,NO,60.7014,8.9457,45.57,45.57,90,100,1.52,overcast clouds
30,Cayenne,GF,4.9333,-52.3333,77.04,77.04,88,0,1.14,clear sky
31,Mataura,NZ,-46.1927,168.8643,58.95,58.95,50,100,3.51,light rain
32,Port Alfred,ZA,-33.5906,26.891,53.19,53.19,93,100,1.99,light rain
33,Klaksvik,FO,62.2266,-6.589,49.12,49.12,89,27,6.87,scattered clouds
34,Kodiak,US,57.79,-152.4072,56.71,56.71,72,75,9.22,broken clouds
35,Lebu,CL,-37.6167,-73.65,47.3,47.3,87,74,4.14,broken clouds
36,Cherskiy,RU,68.75,161.3,44.71,44.71,69,69,9.6,broken clouds
37,Isangel,VU,-19.55,169.2667,86.11,86.11,66,40,6.91,scattered clouds
38,Rio Grande,BR,-32.035,-52.0986,50.95,50.95,83,60,5.48,broken clouds
39,Hokitika,NZ,-42.7167,170.9667,51.55,51.55,83,100,4.23,light rain
40,Ouango,CF,4.3133,22.5552,67.68,67.68,99,41,2.57,scattered clouds
41,Khatanga,RU,71.9667,102.5,36.95,36.95,68,43,6.4,scattered clouds
42,Nang Rong,TH,14.6377,102.7914,83.48,83.48,71,85,5.48,overcast clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,39.2,87,100,3.44,overcast clouds
