City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-08-15 06:10:33,-33.65,115.3333,63.46,79,70,20.02
1,Lebu,CL,2022-08-15 06:10:34,-37.6167,-73.65,44.37,78,25,7.96
2,Atuona,PF,2022-08-15 06:10:34,-9.8,-139.0333,77.25,75,1,19.84
3,Ginda,IN,2022-08-15 06:10:35,30.6945,78.4932,65.61,92,100,5.3
4,Nikolskoye,RU,2022-08-15 06:10:35,59.7035,30.7861,72.88,62,5,3.83
5,Abha,SA,2022-08-15 06:05:59,18.2164,42.5053,77.25,38,99,9.22
6,Dikson,RU,2022-08-15 06:10:36,73.5069,80.5464,43.09,96,100,8.46
7,Port Elizabeth,ZA,2022-08-15 06:10:36,-33.918,25.5701,51.31,83,87,17.0
8,Ushuaia,AR,2022-08-15 06:09:32,-54.8,-68.3,35.26,93,75,5.75
9,Antofagasta,CL,2022-08-15 06:09:10,-23.65,-70.4,54.46,82,22,5.41
10,Saskylakh,RU,2022-08-15 06:10:37,71.9167,114.0833,61.59,36,9,7.54
11,Emba,KZ,2022-08-15 06:10:37,48.8264,58.1442,84.27,23,0,22.79
12,Cumanayagua,CU,2022-08-15 06:10:37,22.1494,-80.2022,72.01,81,6,0.49
13,Tuatapere,NZ,2022-08-15 06:10:38,-46.1333,167.6833,45.54,82,100,3.71
14,Puerto Ayora,EC,2022-08-15 06:10:38,-0.7393,-90.3518,68.56,98,96,8.01
15,Sarangani,PH,2022-08-15 06:10:39,5.4033,125.4636,83.53,73,97,11.9
16,Punta Arenas,CL,2022-08-15 06:10:39,-53.15,-70.9167,35.71,87,40,6.91
17,Bosobolo,CD,2022-08-15 06:10:39,4.1833,19.9,71.73,93,100,2.28
18,Rikitea,PF,2022-08-15 06:10:40,-23.1203,-134.9692,72.93,79,2,21.74
19,Butaritari,KI,2022-08-15 06:10:40,3.0707,172.7902,81.99,76,24,13.62
20,Aranos,NA,2022-08-15 06:10:41,-24.1333,19.1167,43.29,54,31,8.43
21,Dhidhdhoo,MV,2022-08-15 06:10:41,6.8833,73.1,81.34,78,100,9.44
22,Nianzishan,CN,2022-08-15 06:10:42,47.5167,122.8833,73.54,63,100,9.71
23,Lewiston,US,2022-08-15 06:09:01,44.1003,-70.2148,64.38,93,0,3.44
24,Arraial Do Cabo,BR,2022-08-15 06:10:42,-22.9661,-42.0278,68.58,81,4,25.9
25,Mataura,NZ,2022-08-15 06:10:43,-46.1927,168.8643,50.49,86,100,3.24
26,Castro,BR,2022-08-15 06:10:43,-24.7911,-50.0119,54.91,69,0,4.76
27,Normandin,CA,2022-08-15 06:10:44,48.8333,-72.5321,56.68,80,99,2.64
28,Itaituba,BR,2022-08-15 06:10:44,-4.2761,-55.9836,73.35,90,100,0.31
29,North Battleford,CA,2022-08-15 06:10:44,52.7834,-108.2847,60.01,75,27,4.43
30,Nantucket,US,2022-08-15 06:10:45,41.2835,-70.0995,67.01,70,0,6.91
31,Bluff,NZ,2022-08-15 06:10:45,-46.6,168.3333,50.81,78,100,10.98
32,Egvekinot,RU,2022-08-15 06:10:45,66.3167,-179.1667,41.59,90,100,2.71
33,Mahebourg,MU,2022-08-15 06:10:46,-20.4081,57.7,73.26,69,67,16.82
34,Cabo San Lucas,MX,2022-08-15 06:09:28,22.8909,-109.9124,84.61,75,85,7.0
35,Mayo,US,2022-08-15 06:10:46,38.8876,-76.5119,70.0,92,100,0.0
36,Faanui,PF,2022-08-15 06:10:47,-16.4833,-151.75,78.8,74,11,12.64
37,Bredasdorp,ZA,2022-08-15 06:10:47,-34.5322,20.0403,41.97,74,10,4.59
38,Cherskiy,RU,2022-08-15 06:10:48,68.75,161.3,50.27,55,4,9.46
39,Port Alfred,ZA,2022-08-15 06:10:48,-33.5906,26.891,55.24,67,92,18.52
40,Albany,US,2022-08-15 06:10:49,42.6001,-73.9662,64.58,77,67,1.59
41,Kalmunai,LK,2022-08-15 06:10:49,7.4167,81.8167,90.68,54,87,8.86
42,Airai,TL,2022-08-15 06:10:50,-8.9266,125.4092,70.29,53,72,5.06
43,Touros,BR,2022-08-15 06:10:50,-5.1989,-35.4608,71.38,79,28,14.67
44,Lorengau,PG,2022-08-15 06:11:50,-2.0226,147.2712,83.19,64,99,5.88
45,Sitka,US,2022-08-15 06:11:51,57.0531,-135.33,55.29,94,100,0.0
46,Bambous Virieux,MU,2022-08-15 06:11:51,-20.3428,57.7575,73.65,60,75,21.85
47,East London,ZA,2022-08-15 06:11:52,-33.0153,27.9116,52.74,62,40,14.97
48,Yellowknife,CA,2022-08-15 06:11:52,62.456,-114.3525,68.56,49,0,5.01
49,Jamestown,US,2022-08-15 06:10:33,42.097,-79.2353,63.01,84,75,3.44
50,Avarua,CK,2022-08-15 06:11:42,-21.2078,-159.775,69.85,78,75,12.66
51,Faya,SA,2022-08-15 06:11:53,18.3851,42.4509,77.52,47,99,10.31
52,Kapaa,US,2022-08-15 06:11:53,22.0752,-159.319,78.78,84,20,11.5
53,Nelson Bay,AU,2022-08-15 06:11:54,-32.7167,152.15,63.0,52,64,17.0
54,Longyearbyen,SJ,2022-08-15 06:11:54,78.2186,15.6401,42.64,81,75,3.44
55,Pangkalanbuun,ID,2022-08-15 06:11:55,-2.6833,111.6167,85.91,65,81,5.32
56,Kahului,US,2022-08-15 06:11:20,20.8947,-156.47,78.84,67,40,17.27
57,Savinka,RU,2022-08-15 06:11:55,50.0785,47.0994,83.73,33,3,14.94
58,New Norfolk,AU,2022-08-15 06:11:56,-42.7826,147.0587,53.1,84,84,3.0
59,Caravelas,BR,2022-08-15 06:11:56,-17.7125,-39.2481,67.26,82,85,6.2
60,Point Pedro,LK,2022-08-15 06:11:57,9.8167,80.2333,86.58,64,86,6.17
61,Hermanus,ZA,2022-08-15 06:11:57,-34.4187,19.2345,40.8,69,10,8.37
62,Qaanaaq,GL,2022-08-15 06:11:57,77.484,-69.3632,40.93,82,97,8.12
63,Victoria,HK,2022-08-15 06:08:52,22.2855,114.1577,93.25,99,86,3.78
64,Ponta Delgada,PT,2022-08-15 06:11:58,37.7333,-25.6667,74.12,83,75,5.75
65,Port Blair,IN,2022-08-15 06:11:58,11.6667,92.75,86.04,79,75,6.91
66,Lesogorskiy,RU,2022-08-15 06:11:59,61.0455,28.9294,68.58,76,57,4.65
67,Corner Brook,CA,2022-08-15 06:08:40,48.9667,-57.9484,67.26,95,100,6.8
68,Tasiilaq,GL,2022-08-15 06:11:59,65.6145,-37.6368,37.56,62,93,4.61
69,Fairbanks,US,2022-08-15 06:10:46,64.8378,-147.7164,62.6,78,0,6.91
70,High Level,CA,2022-08-15 06:11:53,58.5169,-117.136,60.91,94,0,3.44
71,Thompson,CA,2022-08-15 06:12:00,55.7435,-97.8558,58.17,66,0,5.3
72,Saint-Philippe,RE,2022-08-15 06:12:01,-21.3585,55.7679,74.79,80,28,12.95
73,Hamilton,US,2022-08-15 06:12:01,39.1834,-84.5333,68.76,93,100,5.75
74,Fortuna,US,2022-08-15 06:12:02,40.5982,-124.1573,60.93,90,100,6.91
75,Zverinogolovskoye,RU,2022-08-15 06:12:02,54.4586,64.8542,64.94,44,45,5.39
76,Hasaki,JP,2022-08-15 06:12:03,35.7333,140.8333,90.28,75,95,4.43
77,Porto Novo,BJ,2022-08-15 06:12:03,6.4965,2.6036,72.61,95,100,11.63
78,Bonfim,BR,2022-08-15 06:12:04,3.0833,-59.95,74.97,73,46,0.89
79,Port Augusta,AU,2022-08-15 06:12:04,-32.5,137.7667,61.9,57,61,16.89
80,San Cristobal,VE,2022-08-15 06:12:04,7.7669,-72.225,66.38,99,100,2.75
81,Kaitangata,NZ,2022-08-15 06:12:05,-46.2817,169.8464,46.99,75,99,8.79
82,Leningradskiy,RU,2022-08-15 06:12:05,69.3833,178.4167,35.31,81,96,3.29
83,Matagami,CA,2022-08-15 06:12:06,49.7502,-77.6328,52.86,96,84,3.2
84,Hithadhoo,MV,2022-08-15 06:12:06,-0.6,73.0833,83.55,72,30,8.68
85,Ulaangom,MN,2022-08-15 06:12:07,49.9811,92.0667,75.52,36,0,6.58
86,Lazaro Cardenas,MX,2022-08-15 06:12:07,17.9583,-102.2,77.88,83,82,5.93
87,Cidreira,BR,2022-08-15 06:13:08,-30.1811,-50.2056,60.91,95,100,11.65
88,Ribeira Grande,PT,2022-08-15 06:13:08,38.5167,-28.7,74.89,84,15,4.65
89,Sioux Lookout,CA,2022-08-15 06:13:09,50.1001,-91.917,64.47,100,100,6.91
90,Sao Filipe,CV,2022-08-15 06:13:09,14.8961,-24.4956,76.33,75,7,7.72
91,Sept-Iles,CA,2022-08-15 06:08:12,50.2001,-66.3821,57.06,94,98,2.08
92,Boende,CD,2022-08-15 06:13:10,-0.2167,20.8667,75.09,69,99,1.3
93,Ancud,CL,2022-08-15 06:13:10,-41.8697,-73.8203,43.77,78,27,16.51
94,Thul,PK,2022-08-15 06:13:11,28.2403,68.7759,93.79,51,4,7.67
95,Talnakh,RU,2022-08-15 06:13:11,69.4865,88.3972,65.21,45,99,2.13
96,Geraldton,AU,2022-08-15 06:13:12,-28.7667,114.6,73.81,64,52,16.11
97,Agadir,MA,2022-08-15 06:13:12,30.4202,-9.5982,66.65,82,4,2.3
98,Vaini,TO,2022-08-15 06:13:12,-21.2,-175.2,71.76,78,40,13.8
99,Baruun-Urt,MN,2022-08-15 06:13:13,46.6806,113.2792,73.09,38,55,5.73
100,Tshikapa,CD,2022-08-15 06:13:13,-6.4167,20.8,76.48,28,62,0.63
101,Hervey Bay,AU,2022-08-15 06:13:14,-25.2986,152.8535,66.29,49,0,6.53
102,Waitati,NZ,2022-08-15 06:13:14,-45.75,170.5667,49.8,75,100,11.23
